date time,cpu usage(%),mem usage(bytes),gpu usage(%),disk usage(%),network upload speed(Bps),network download speed(Bps)
2023/12/27 15:00:49,0.52,21772000000,2,0.5,1000,12000
2023/12/27 15:00:50,0.19,21768000000,4,0.71,377,271
2023/12/27 15:00:51,2.06,21768000000,1,0.68,1000,5000
2023/12/27 15:00:52,0.14,21765000000,1,0.37,254,317
2023/12/27 15:00:53,0.3,21773000000,1,0.14,258,165
2023/12/27 15:00:54,0.78,21773000000,1,0.36,187,192
2023/12/27 15:00:55,0,21771000000,3,0.52,324,407
2023/12/27 15:00:56,0.58,21768000000,2,0.43,60,0
2023/12/27 15:00:57,0.08,21765000000,2,0.13,475,397
2023/12/27 15:00:58,0.62,21777000000,2,0.66,2000,2000
2023/12/27 15:00:59,0.13,21783000000,2,0.53,4000,2000
2023/12/27 15:01:00,1.03,21782000000,2,0.48,1000,1000
2023/12/27 15:01:01,0.35,21779000000,1,0.12,570,299
2023/12/27 15:01:02,0.21,21779000000,2,0.36,44000,21000
2023/12/27 15:01:03,0.73,21788000000,1,0.5,138,240
2023/12/27 15:01:04,0.55,21783000000,1,1.96,532,392
2023/12/27 15:01:05,0.26,21781000000,1,0.13,0,0
2023/12/27 15:01:06,0.92,21783000000,1,1.28,7000,6000
2023/12/27 15:01:07,0.21,21778000000,2,2.44,1000,274
2023/12/27 15:01:08,0.99,21775000000,2,0.38,60,0
2023/12/27 15:01:09,0,21786000000,2,0.54,466,511
2023/12/27 15:01:10,0.3,21781000000,2,0.58,60,132
2023/12/27 15:01:11,0.43,21797000000,3,0.23,60,42
2023/12/27 15:01:12,0.88,21780000000,2,0.38,603,728
2023/12/27 15:01:13,0.45,21785000000,1,0.38,3000,2000
2023/12/27 15:01:14,0.56,21787000000,1,0.63,852,715
2023/12/27 15:01:15,1.54,21786000000,1,0.66,66,66
2023/12/27 15:01:16,0.26,21780000000,1,0.26,324,407
2023/12/27 15:01:17,0.35,21778000000,1,0.84,463,401
2023/12/27 15:01:18,0.07,21787000000,1,0.39,2000,443
2023/12/27 15:01:19,0,21786000000,1,0.38,280,858
2023/12/27 15:01:20,0.31,21778000000,1,0.26,1000,4000
2023/12/27 15:01:21,0,21775000000,1,0.49,335,355
2023/12/27 15:01:22,0.21,21776000000,1,0.35,127,71
2023/12/27 15:01:23,0.56,21770000000,2,0.26,220,125
2023/12/27 15:01:24,0.3,21782000000,2,1.35,319,257
2023/12/27 15:01:25,0.03,21777000000,2,0.38,0,0
2023/12/27 15:01:26,3.08,21770000000,1,3.55,2000,0
2023/12/27 15:01:27,3.32,21762000000,2,0.63,8000,5000
2023/12/27 15:01:28,0.17,21758000000,2,0.62,7000,5000
2023/12/27 15:01:29,0.76,21749000000,2,1.68,972,379
2023/12/27 15:01:30,0.39,21750000000,1,1.48,1000,132
2023/12/27 15:01:31,0.36,21741000000,2,4.95,0,132
2023/12/27 15:01:32,1.59,21713000000,2,5.48,422,251
2023/12/27 15:01:33,0.83,21718000000,1,1.05,8000,2000
2023/12/27 15:01:34,1.01,21695000000,2,3.68,6000,137
2023/12/27 15:01:35,4.12,21432000000,2,32.25,47000,8000
2023/12/27 15:01:36,1.14,21429000000,2,2.23,15000,6000
2023/12/27 15:01:37,1.37,21390000000,2,1.98,131000,14000
2023/12/27 15:01:38,0.41,21364000000,2,1.36,197000,14000
2023/12/27 15:01:39,2.99,21364000000,2,2.57,82000,3000
2023/12/27 15:01:40,0.66,21360000000,2,0.54,384,286
2023/12/27 15:01:41,0.16,21359000000,1,0.76,66,55
2023/12/27 15:01:42,0.86,21364000000,1,0.4,431,181
2023/12/27 15:01:43,0.07,21362000000,2,0.6,1000,432
2023/12/27 15:01:44,0.34,21375000000,2,0.76,1000,162
2023/12/27 15:01:45,4.02,21362000000,1,2.88,3000,567
2023/12/27 15:01:46,1.39,21362000000,2,0.71,10000,9000
2023/12/27 15:01:47,1.03,21342000000,2,14.58,5000,3000
2023/12/27 15:01:48,2.74,21324000000,2,2.9,14000,7000
2023/12/27 15:01:49,1.51,21326000000,2,0.92,2000,395
2023/12/27 15:01:50,3.74,21319000000,2,0.44,13000,515000
2023/12/27 15:01:51,2.82,21337000000,1,0.81,5000,5000
2023/12/27 15:01:52,2.86,21331000000,1,0.99,7000,3000
2023/12/27 15:01:53,2.52,21327000000,1,0.94,9000,7000
2023/12/27 15:01:54,2.46,21320000000,4,0.39,2000,3000
2023/12/27 15:01:55,0.85,21334000000,5,1.07,2000,5000
2023/12/27 15:01:56,3.41,21323000000,5,1.31,1000,866
2023/12/27 15:01:57,3.18,21295000000,5,0.56,3000,6000
2023/12/27 15:04:09,0,24742000000,1,0,66,55
2023/12/27 15:04:10,1.32,24745000000,1,1.22,60,0
2023/12/27 15:04:11,0,24746000000,0,0.47,529,1000
2023/12/27 15:04:12,1.43,24750000000,0,0.94,60,0
2023/12/27 15:04:13,0.57,24753000000,0,0.36,67,71
2023/12/27 15:04:14,0.5,24747000000,1,8.27,472,217
2023/12/27 15:04:15,0.72,24750000000,0,1.24,2000000,18000
2023/12/27 15:04:16,3.04,24751000000,3,0.86,1000,217
2023/12/27 15:04:17,6.14,24751000000,3,1.03,0,217
2023/12/27 15:04:18,0.75,24772000000,1,1.11,2000,55
